地级市,年份,累计日照时数(小时)
克拉玛依市,1963,493.95
克拉玛依市,1964,480.42
克拉玛依市,1965,519.24
克拉玛依市,1966,482.52
克拉玛依市,1967,453.52
克拉玛依市,1968,530.08
克拉玛依市,1969,467.54
克拉玛依市,1970,444.09
克拉玛依市,1971,463.68
克拉玛依市,1972,455.97
克拉玛依市,1973,502.18
克拉玛依市,1974,499.09
克拉玛依市,1975,477.56
克拉玛依市,1976,503.23
克拉玛依市,1977,492.17
克拉玛依市,1978,502.97
克拉玛依市,1979,498.41
克拉玛依市,1980,482.76
克拉玛依市,1981,464.84
克拉玛依市,1982,463.94
克拉玛依市,1983,489.69
克拉玛依市,1984,484.52
克拉玛依市,1985,455.25
克拉玛依市,1986,439.73
克拉玛依市,1987,498.08
克拉玛依市,1988,464.05
克拉玛依市,1989,446.48
克拉玛依市,1990,450.32
克拉玛依市,1991,459.74
克拉玛依市,1992,463.6
克拉玛依市,1993,412.71
克拉玛依市,1994,481.91
克拉玛依市,1995,461.57
克拉玛依市,1996,453.98
克拉玛依市,1997,469.1
克拉玛依市,1998,443.28
克拉玛依市,1999,426.3
克拉玛依市,2000,449.8
克拉玛依市,2001,467.78
克拉玛依市,2002,445.24
克拉玛依市,2003,451.79
克拉玛依市,2004,475.24
克拉玛依市,2005,448.96
克拉玛依市,2006,494.55
克拉玛依市,2007,432.01
克拉玛依市,2008,478.19
克拉玛依市,2009,480.78
克拉玛依市,2010,467.35
克拉玛依市,2011,504.32
克拉玛依市,2012,466.91
克拉玛依市,2013,439.98
克拉玛依市,2014,477.88
克拉玛依市,2015,512.54
克拉玛依市,2016,433.77
克拉玛依市,2017,487.76
克拉玛依市,2018,465.55
克拉玛依市,2019,454.79
克拉玛依市,2020,419.67
北屯市,1960,472.78
北屯市,1961,430.09
北屯市,1962,520.93
北屯市,1963,524.67
北屯市,1964,499.56
北屯市,1965,532.29
北屯市,1966,491.43
北屯市,1967,464.67
北屯市,1968,515.86
北屯市,1969,467.83
北屯市,1970,458.13
北屯市,1971,491.58
北屯市,1972,436.06
北屯市,1973,499.08
北屯市,1974,525.12
北屯市,1975,500.75
北屯市,1976,507.74
北屯市,1977,508.12
北屯市,1978,529.42
北屯市,1979,532.28
北屯市,1980,512.79
北屯市,1981,493.8
北屯市,1982,518.11
北屯市,1983,490.87
北屯市,1984,477.59
北屯市,1985,498.88
北屯市,1986,477.21
北屯市,1987,533.98
北屯市,1988,466.3
北屯市,1989,500.15
北屯市,1990,479.24
北屯市,1991,502.01
北屯市,1992,456.76
北屯市,1993,452.78
北屯市,1994,495.19
北屯市,1995,473.06
北屯市,1996,471.19
北屯市,1997,474.94
北屯市,1998,508.99
北屯市,1999,448.88
北屯市,2000,486.37
北屯市,2001,483.88
北屯市,2002,506.37
北屯市,2003,460.25
北屯市,2004,521.53
北屯市,2005,486.39
北屯市,2006,520.37
北屯市,2007,475.29
北屯市,2008,518.11
北屯市,2009,515.02
北屯市,2010,494.02
北屯市,2011,533.03
北屯市,2012,502.47
北屯市,2013,492.21
北屯市,2014,520.88
北屯市,2015,541.75
北屯市,2016,486.61
北屯市,2017,515.32
北屯市,2018,479.28
北屯市,2019,460.5
北屯市,2020,450.42
博尔塔拉蒙古自治州,1960,464.79
博尔塔拉蒙古自治州,1961,417.94
博尔塔拉蒙古自治州,1962,498.36
博尔塔拉蒙古自治州,1963,476.37
博尔塔拉蒙古自治州,1964,465.61
博尔塔拉蒙古自治州,1965,515.57
博尔塔拉蒙古自治州,1966,456.4
博尔塔拉蒙古自治州,1967,478.24
博尔塔拉蒙古自治州,1968,524.77
博尔塔拉蒙古自治州,1969,459.82
博尔塔拉蒙古自治州,1970,458.37
博尔塔拉蒙古自治州,1971,474.5
博尔塔拉蒙古自治州,1972,445.1
博尔塔拉蒙古自治州,1973,534.15
博尔塔拉蒙古自治州,1974,495.86
博尔塔拉蒙古自治州,1975,459.56
博尔塔拉蒙古自治州,1976,510.31
博尔塔拉蒙古自治州,1977,501.83
博尔塔拉蒙古自治州,1978,514.32
博尔塔拉蒙古自治州,1979,490.17
博尔塔拉蒙古自治州,1980,489.3
博尔塔拉蒙古自治州,1981,462.33
博尔塔拉蒙古自治州,1982,488.72
博尔塔拉蒙古自治州,1983,510.08
博尔塔拉蒙古自治州,1984,504.06
博尔塔拉蒙古自治州,1985,445.0
博尔塔拉蒙古自治州,1986,441.03
博尔塔拉蒙古自治州,1987,492.23
博尔塔拉蒙古自治州,1988,457.89
博尔塔拉蒙古自治州,1989,447.3
博尔塔拉蒙古自治州,1990,459.89
博尔塔拉蒙古自治州,1991,461.7
博尔塔拉蒙古自治州,1992,463.24
博尔塔拉蒙古自治州,1993,408.17
博尔塔拉蒙古自治州,1994,465.9
博尔塔拉蒙古自治州,1995,467.17
博尔塔拉蒙古自治州,1996,457.05
博尔塔拉蒙古自治州,1997,495.44
博尔塔拉蒙古自治州,1998,430.1
博尔塔拉蒙古自治州,1999,432.71
博尔塔拉蒙古自治州,2000,418.05
博尔塔拉蒙古自治州,2001,440.31
博尔塔拉蒙古自治州,2002,448.35
博尔塔拉蒙古自治州,2003,456.55
博尔塔拉蒙古自治州,2004,462.43
博尔塔拉蒙古自治州,2005,439.05
博尔塔拉蒙古自治州,2006,492.68
博尔塔拉蒙古自治州,2007,416.61
博尔塔拉蒙古自治州,2008,472.52
博尔塔拉蒙古自治州,2009,479.11
博尔塔拉蒙古自治州,2010,445.0
博尔塔拉蒙古自治州,2011,495.49
博尔塔拉蒙古自治州,2012,474.58
博尔塔拉蒙古自治州,2013,442.48
博尔塔拉蒙古自治州,2014,484.15
博尔塔拉蒙古自治州,2015,504.27
博尔塔拉蒙古自治州,2016,426.16
博尔塔拉蒙古自治州,2017,487.25
博尔塔拉蒙古自治州,2018,476.58
博尔塔拉蒙古自治州,2019,447.53
博尔塔拉蒙古自治州,2020,424.45
双河市,1960,460.18
双河市,1961,413.23
双河市,1962,489.47
双河市,1963,472.76
双河市,1964,465.07
双河市,1965,514.21
双河市,1966,449.4
双河市,1967,477.67
双河市,1968,528.57
双河市,1969,455.39
双河市,1970,470.15
双河市,1971,480.37
双河市,1972,451.55
双河市,1973,543.73
双河市,1974,502.28
双河市,1975,463.67
双河市,1976,514.99
双河市,1977,510.03
双河市,1978,518.07
双河市,1979,503.35
双河市,1980,496.73
双河市,1981,475.65
双河市,1982,498.77
双河市,1983,522.7
双河市,1984,512.64
双河市,1985,455.86
双河市,1986,453.97
双河市,1987,499.8
双河市,1988,474.18
双河市,1989,458.02
双河市,1990,470.1
双河市,1991,466.84
双河市,1992,464.35
双河市,1993,418.08
双河市,1994,463.33
双河市,1995,465.6
双河市,1996,456.58
双河市,1997,496.81
双河市,1998,436.3
双河市,1999,431.16
双河市,2000,413.6
双河市,2001,440.19
双河市,2002,457.8
双河市,2003,465.26
双河市,2004,475.28
双河市,2005,434.01
双河市,2006,492.21
双河市,2007,422.23
双河市,2008,472.72
双河市,2009,474.49
双河市,2010,439.99
双河市,2011,487.1
双河市,2012,471.72
双河市,2013,441.74
双河市,2014,483.28
双河市,2015,511.43
双河市,2016,423.34
双河市,2017,488.72
双河市,2018,478.73
双河市,2019,450.43
双河市,2020,428.78
可克达拉市,1960,456.43
可克达拉市,1961,415.42
可克达拉市,1962,475.85
可克达拉市,1963,468.99
可克达拉市,1964,443.47
可克达拉市,1965,499.4
可克达拉市,1966,459.24
可克达拉市,1967,481.48
可克达拉市,1968,512.46
可克达拉市,1969,468.36
可克达拉市,1970,453.75
可克达拉市,1971,473.36
可克达拉市,1972,435.55
可克达拉市,1973,513.06
可克达拉市,1974,478.1
可克达拉市,1975,448.23
可克达拉市,1976,494.02
可克达拉市,1977,487.3
可克达拉市,1978,485.83
可克达拉市,1979,448.93
可克达拉市,1980,477.3
可克达拉市,1981,446.76
可克达拉市,1982,481.77
可克达拉市,1983,517.85
可克达拉市,1984,503.76
